,TARGET_CLASS,criterion,Size,test_suite_sample%,BRANCH_Coverage,LINE_Coverage,WEAKMUTATION_Coverage,CBRANCH_Coverage,patch_found,non_overfitting,inter_patch_found,inter_non_overfitting,non_overfit_ratio,inter_non_overfit_ratio
19,locogp.SortBubble,BRANCH;LINE;WEAKMUTATION;CBRANCH,2.0,50,29,38,7,29,20,0,659,24,0.0,0.036418816388467400
20,locogp.SortBubble,BRANCH;LINE;WEAKMUTATION;CBRANCH,1.0,25,14,25,7,14,20,1,769,106,0.05,0.1378413524057220
21,locogp.SortBubble,MANUAL,7.0,100,86,88,97,86,20,20,276,276,1.0,1.0
22,locogp.Triangle,BRANCH,6.0,100,94,92,95,94,20,11,388,173,0.55,0.44587628865979400
23,locogp.Triangle,BRANCH,4.0,75,72,88,85,72,20,9,405,177,0.45,0.43703703703703700
24,locogp.Triangle,BRANCH,2.0,50,61,72,75,61,20,9,403,151,0.45,0.3746898263027300
25,locogp.Triangle,BRANCH,1.0,25,44,56,61,44,20,13,468,211,0.65,0.45085470085470100
26,locogp.Triangle,LINE,6.0,100,94,96,95,94,20,6,435,112,0.3,0.2574712643678160
27,locogp.Triangle,LINE,4.0,75,67,84,75,67,20,7,468,151,0.35,0.32264957264957300
28,locogp.Triangle,LINE,2.0,50,44,44,39,44,20,4,472,98,0.2,0.2076271186440680
29,locogp.Triangle,LINE,1.0,25,6,4,0,6,20,9,483,144,0.45,0.2981366459627330
30,locogp.Triangle,WEAKMUTATION,10.0,100,94,92,98,94,20,8,485,109,0.4,0.22474226804123700
31,locogp.Triangle,WEAKMUTATION,7.0,75,89,88,96,89,20,12,264,164,0.6,0.6212121212121210
32,locogp.Triangle,WEAKMUTATION,4.0,50,83,88,94,83,20,15,338,188,0.75,0.5562130177514790
33,locogp.Triangle,WEAKMUTATION,1.0,25,28,60,51,28,20,9,451,119,0.45,0.2638580931263860
34,locogp.Triangle,CBRANCH,7.0,100,100,96,97,100,20,7,497,129,0.35,0.2595573440643860
35,locogp.Triangle,CBRANCH,5.0,75,89,80,85,89,20,14,311,213,0.7,0.684887459807074
36,locogp.Triangle,CBRANCH,3.0,50,61,64,66,61,20,8,349,75,0.4,0.2148997134670490
37,locogp.Triangle,CBRANCH,1.0,25,44,44,54,44,20,8,446,142,0.4,0.3183856502242150
38,locogp.Triangle,BRANCH;LINE;WEAKMUTATION;CBRANCH,7.0,100,100,96,98,100,20,8,485,128,0.4,0.2639175257731960
39,locogp.Triangle,BRANCH;LINE;WEAKMUTATION;CBRANCH,5.0,75,89,84,87,89,20,13,279,175,0.65,0.6272401433691760
40,locogp.Triangle,BRANCH;LINE;WEAKMUTATION;CBRANCH,3.0,50,72,76,82,72,20,13,352,171,0.65,0.48579545454545500
41,locogp.Triangle,BRANCH;LINE;WEAKMUTATION;CBRANCH,1.0,25,39,40,39,39,20,8,528,140,0.4,0.26515151515151500
42,locogp.Triangle,MANUAL,4.0,100,89,92,98,89,20,18,286,214,0.9,0.7482517482517480
43,locogp.SortSelection2,BRANCH,3.0,100,100,100,88,100,20,3,543,37,0.15,0.06813996316758750
44,locogp.SortSelection2,BRANCH,2.0,75,71,64,64,71,20,6,418,97,0.3,0.23205741626794300
45,locogp.SortSelection2,BRANCH,1.0,50,57,55,64,57,20,3,445,73,0.15,0.16404494382022500
46,locogp.SortSelection2,BRANCH,1.0,25,57,55,64,57,20,3,483,98,0.15,0.2028985507246380
47,locogp.SortSelection2,LINE,2.0,100,86,100,79,86,20,6,528,108,0.3,0.20454545454545500
48,locogp.SortSelection2,LINE,1.0,75,14,9,0,14,20,2,596,15,0.1,0.025167785234899300
49,locogp.SortSelection2,LINE,1.0,50,14,9,0,14,20,5,519,59,0.25,0.11368015414258200
50,locogp.SortSelection2,LINE,1.0,25,14,9,0,14,20,1,600,33,0.05,0.055
51,locogp.SortSelection2,WEAKMUTATION,2.0,100,86,91,97,86,20,3,565,66,0.15,0.1168141592920350
52,locogp.SortSelection2,WEAKMUTATION,1.0,75,14,36,17,14,20,0,649,21,0.0,0.032357473035439100
53,locogp.SortSelection2,WEAKMUTATION,1.0,50,14,36,17,14,20,2,696,43,0.1,0.0617816091954023
54,locogp.SortSelection2,WEAKMUTATION,1.0,25,14,36,17,14,20,0,774,21,0.0,0.027131782945736400
55,locogp.SortSelection2,CBRANCH,3.0,100,100,100,88,100,20,1,574,22,0.05,0.03832752613240420
56,locogp.SortSelection2,CBRANCH,2.0,75,86,100,80,86,20,3,680,40,0.15,0.058823529411764700
57,locogp.SortSelection2,CBRANCH,1.0,50,71,91,80,71,20,1,639,28,0.05,0.04381846635367760
58,locogp.SortSelection2,CBRANCH,1.0,25,71,91,80,71,20,2,657,68,0.1,0.1035007610350080
59,locogp.SortSelection2,BRANCH;LINE;WEAKMUTATION;CBRANCH,3.0,100,100,100,97,100,20,1,704,49,0.05,0.06960227272727270
60,locogp.SortSelection2,BRANCH;LINE;WEAKMUTATION;CBRANCH,2.0,75,100,100,96,100,20,1,702,31,0.05,0.04415954415954420
61,locogp.SortSelection2,BRANCH;LINE;WEAKMUTATION;CBRANCH,1.0,50,14,9,0,14,20,2,555,54,0.1,0.0972972972972973
